NAME,CATEGORY,SUBCAT,NAME_CLEAN
Choa Chu Kang Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,choa chu kang neighbourhood police post
Chong Pang Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,chong pang neighbourhood police post
Eunos Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,eunos neighbourhood police post
Geylang Serai Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,geylang serai neighbourhood police post
Jurong Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,jurong neighbourhood police post
Kallang Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,kallang neighbourhood police post
Kampong Glam Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,kampong glam neighbourhood police post
Khatib Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,khatib neighbourhood police post
Kim Keat Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,kim keat neighbourhood police post
Kim Seng Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,kim seng neighbourhood police post
Kreta Ayer Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,kreta ayer neighbourhood police post
Marine Parade Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,marine parade neighbourhood police post
Marsiling Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,marsiling neighbourhood police post
Moulmein Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,moulmein neighbourhood police post
Pasir Panjang Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,pasir panjang neighbourhood police post
Radin Mas Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,radin mas neighbourhood police post
Siglap Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,siglap neighbourhood police post
Tampines East Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,tampines east neighbourhood police post
Tanjong Pagar Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,tanjong pagar neighbourhood police post
Thomson Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,thomson neighbourhood police post
West Coast Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,west coast neighbourhood police post
Whampoa Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,whampoa neighbourhood police post
ANG MO KIO DIVISION,OTHER_ORG,Police Stations,ang mo kio division
